ID,Character,Community,x,y
N1,Luis,0,-979.9382,-651.1082
N2,Scott Lang / Ant-Man,0,-602.5549,-447.04822
N3,Dale,0,-304.59692,-931.2596
N4,Dave,0,-864.3383,-813.0916
N5,Kurt,0,-705.8645,-952.4932
N6,Dr. Hank Pym,0,-658.16986,-761.7414
N7,Hope van Dyne / Wasp,0,-811.6603,-542.2531
N8,Darren Cross / Yellowjacket,0,-486.19684,-851.5419
N9,Cassie Lang,0,-895.19727,-436.5769
N10,Paxton,0,-1082.1416,-478.72644
N11,Sam Wilson / Falcon,1,-375.5265,-255.10507
N12,Steve Rogers / Captain America,1,-500.11093,66.2269
N13,Tony Stark / Iron Man,2,245.72044,49.457672
N14,J.A.R.V.I.S. / Vision,1,-224.3472,113.30144
N15,Clint Barton / Hawkeye,1,-402.29205,226.65912
N16,Natasha Romanoff / Black Widow,5,-185.70988,-162.6081
N17,Thor,6,-185.90749,596.3956
N18,Bruce Banner / Hulk,2,-338.76712,-46.804577
N19,Agent Maria Hill,1,-189.40965,-361.9811
N20,Ultron,1,-589.5818,170.04233
N21,James Rhodes / War Machine,2,22.167255,-251.60762
N22,Wanda Maximoff,1,-732.3211,384.54633
N23,Pietro Maximoff,1,-872.37335,323.68573
N24,Heimdall,6,-614.8211,520.06946
N25,Laura Barton,1,-1065.6993,508.1937
N26,Lila Barton,1,-853.9794,504.3217
N27,Dr. Helen Cho,1,-1143.5714,315.0757
N28,Nick Fury,5,8.75759,-394.4574
N29,Dr. Erik Selvig,5,-96.42751,229.21484
N30,FRIDAY,2,604.84674,512.63153
N31,Pepper Potts,2,233.96852,-169.29863
N32,Nebula,3,135.99168,400.59055
N33,Thanos,3,191.70059,592.7811
N34,Morgan Stark,2,737.84265,361.50964
N35,Valkyrie,2,-506.79742,362.64465
N36,Rocket,3,327.64554,1132.201
N37,Korg,6,-240.79237,956.1001
N38,The Ancient One,2,-799.76245,-159.07008
N39,Gamora,3,299.50955,756.91315
N40,Loki,6,-64.78869,408.23755
N41,Brock Rumlow,1,-1191.882,97.56227
N42,Frigga,6,-379.5229,526.3587
N43,Howard Stark,2,-104.32228,23.20348
N44,Dr. Stephen Strange,3,354.21173,496.54373
N45,Wong,3,819.4242,557.21686
N46,Peter Parker / Spider-Man,4,555.47797,-595.0193
N47,Peter Quill / Star-Lord,3,474.1064,662.5326
N48,Drax the Destroyer,3,536.223,853.06287
N49,Mantis,3,529.89307,1064.9578
N50,Bucky Barnes / Winter Soldier,1,-692.6552,-349.14517
N51,Ned Leeds,4,791.1099,-452.94507
N52,Groot,3,129.01811,1178.9873
N53,Eitri,6,158.76242,982.71686
N54,Johann Schmidt / Red Skull,1,-283.4981,351.15988
N55,T'Challa / Black Panther,5,-497.78625,-604.48834
N56,Sharon Carter,1,-974.6557,-246.3115
N57,Helmut Zemo,1,-1158.027,-287.67883
N58,Thaddeus Ross,2,987.63336,184.0804
N59,May Parker,4,375.87885,-693.76404
N60,Dr. Abraham Erskine,1,-939.27094,-53.59252
N61,Dr. Arnim Zola,1,-659.8521,-29.79747
N62,Colonel Chester Phillips,1,-817.7317,204.47894
N63,Peggy Carter,1,-1123.8411,172.89894
N64,Alexander Pierce,5,-271.05835,-495.77457
N65,Fury's Car,5,31.556097,-616.66864
N66,Jasper Sitwell,1,-1153.1748,-91.53673
N67,Carol Danvers / Captain Marvel,5,-95.72815,-1009.7979
N68,Yon-Rogg,5,-357.16415,-1122.0428
N69,Supreme Intelligence,5,3.8872795,-1111.8604
N70,General Talos,5,7.47734,-820.22266
N71,Maria Rambeau,5,103.73851,-935.97046
N72,Wendy Lawson,5,-173.55345,-1169.8218
N73,Agent Phil Coulson,5,91.663704,187.62216
N74,Director,5,197.49821,-771.6279
N75,Monica Rambeau,5,-532.5821,-1049.8146
N76,Korath,3,853.0595,813.2082
N77,Yondu Udonta,3,347.99985,938.8425
N78,Ronan,3,683.9694,708.89703
N79,The Broker,3,1073.6187,492.23767
N80,Corpsman Dey,3,709.2497,949.3936
N81,Ego,3,978.6118,663.9224
N82,Happy Hogan,4,207.67957,-551.00183
N83,Christine Everhart,2,409.65228,-277.20544
N84,Obadiah Stane,2,391.65366,-473.97214
N85,Ho Yinsen,2,619.5943,214.52509
N86,Major Allen,2,-148.56712,-570.6591
N87,Marshal,2,481.70245,356.13922
N88,Senator Stern,2,200.98488,-356.58218
N89,Justin Hammer,2,77.91346,-30.66864
N90,Ivan Vanko / Whiplash,2,419.257,-66.82254
N91,General,2,-359.10254,-697.8818
N92,Maya Hansen,2,593.59796,-394.51035
N93,Aldrich Killian,2,790.3067,-76.99359
N94,The Mandarin,2,984.3835,-12.806418
N95,Harley Keener,2,283.66852,279.51312
N96,Savin,2,1150.4617,297.50198
N97,Mrs. Davis,2,613.1549,16.903612
N98,Cameraman,2,595.1622,-184.38092
N99,Gary,2,767.3613,88.04974
N100,Trevor Slattery,2,924.88025,368.81552
N101,Guard #2,2,428.3863,141.64743
N102,Betty Brant,4,954.07446,-641.7423
N103,Jason Ionello,4,1086.8037,-502.0117
N104,Michelle / MJ,4,1134.7085,-307.3593
N105,Mr. Dell,4,701.5622,-721.1665
N106,Mr. Harrington,4,1045.4312,-422.02728
N107,Quentin Beck / Mysterio,4,766.0089,-288.7664
N108,E.D.I.T.H.,4,962.6856,-210.07297
N109,Brad Davis,4,332.1962,-922.33746
N110,Mysterio's Crew,4,1174.1559,-112.80832
N111,William Ginther Riva,4,1179.7648,86.707344
N112,Adrian Toomes / Vulture,4,717.6651,-933.18164
N113,Phineas Mason,4,392.23715,-1111.7601
N114,Jackson Brice,4,876.98157,-808.142
N115,Liz,4,565.0945,-1059.2394
N116,Aaron Davis,4,519.1766,-829.33673
N117,Karen / Suit Lady,4,212.66696,-1157.2391
N118,Security Guard,2,-669.7646,-224.41373
N119,WORLD SECURITY COUNCIL #1,5,-179.04982,-772.12177
N120,Jane Foster,6,-742.1185,663.1108
N121,Darcy Lewis,6,-628.17804,822.3707
N122,Odin,6,-489.25378,684.96906
N123,Fandral,6,-291.15244,740.28235
N124,Sif,6,-103.74258,791.4795
N125,Volstagg,6,2.143501,611.23175
N126,Laufey,6,98.33199,799.0802
N127,Richard,6,-964.0447,687.9273
N128,Ian Boothby,6,-646.67664,1006.6455
N129,Erik Selvig,6,-832.55176,853.8699
N130,Malekith,6,-432.71652,896.6167
N131,Surtur,6,-453.39627,1090.1306
N132,Hela,6,-40.996056,989.4745
N133,Grandmaster,6,-264.65424,1148.8784
N134,Topaz,6,-71.63097,1181.5742
