character,dialogue,wordcount,movie
Dr. Hank Pym,Stark,1,antman
Mitchell Carson,He doesn t seem happy,5,antman
Howard Stark,Hello Hank You re supposed to be in Moscow,9,antman
Dr. Hank Pym,I took a detour Through your defense lab,8,antman
Peggy Carter,Tell me that isn t what I think it is,10,antman
Dr. Hank Pym,It depends if you think it s a poor attempt to replicate my work Even for this group that takes nerve,21,antman
Mitchell Carson,You were instructed to go to Russia May I remind you Dr Pym that you re a soldier,18,antman
Dr. Hank Pym,I m a scientist,4,antman
Howard Stark,Then act like one The Pym Particle is the most revolutionary science ever developed help us put it to good use,21,antman
Dr. Hank Pym,I let you turn me into your errand boy and now you try to steal my research,17,antman
Mitchell Carson,If only you d protected Janet with such ferocity Dr Pym,11,antman
Dr. Hank Pym,Oh god,2,antman
Peggy Carter,Easy Hank,2,antman
Dr. Hank Pym,You mention my wife again and I ll show you ferocity,11,antman
Howard Stark,Don t look at me you said it,8,antman
Dr. Hank Pym,I formally tender my resignation,5,antman
Howard Stark,We don t accept it Formally Hank we need you The Pym Particle is a miracle Please don t let your past determine the future,25,antman
Dr. Hank Pym,As long as I am alive nobody will ever get that formula,12,antman
Mitchell Carson,We shouldn t let him leave the building,8,antman
Peggy Carter,You ve already lied to him now you want to go to war with him,15,antman
Mitchell Carson,Yes Our scientists haven t come close to replicating his work,11,antman
Howard Stark,He just kicked your ass full size You really want to find out what it s like when you can t see him coming I ve known Hank Pym for a long time he s no security risk Unless we make him one,43,antman
Peachy,You like that You like that Come get you some then,11,antman
Scott Lang / Ant-Man,You didn t even move,5,antman
Peachy,Nah,1,antman
Scott Lang / Ant-Man,I mean what if I come in on the left side right Just out here and see this here,19,antman
Peachy,I m gonna miss you Scott,6,antman
Scott Lang / Ant-Man,I m gonna miss you too Peachy Man you guys got the weirdest goodbye rituals,15,antman
Luis,Scotty What s up man Damn,6,antman
Scott Lang / Ant-Man,Hey Hey man,3,antman
Luis,Hey what s up with your eye,7,antman
Scott Lang / Ant-Man,Oh well what do you think Peachy His going away present,11,antman
Luis,Oh yeah I still got my scar from a year ago,11,antman
Scott Lang / Ant-Man,Oh yeah,2,antman
Luis,Yeah Yeah yeah You know what I m still the only one to knock him out,16,antman
Scott Lang / Ant-Man,Well I definitely didn t,5,antman
Scott Lang / Ant-Man,Thanks for picking me up brother,6,antman
Luis,Oh you know you think I m gonna miss my cellie getting out,13,antman
Scott Lang / Ant-Man,Hey how s your girl man,6,antman
Luis,Uh she left me,4,antman
Scott Lang / Ant-Man,Oh,1,antman
Luis,Yeah my mom died too And my dad got deported But I got the van,15,antman
Scott Lang / Ant-Man,It s nice,3,antman
Luis,Yeah right,2,antman
Scott Lang / Ant-Man,Thanks for the hook up too I needed a place to stay,12,antman
Luis,You wait til you see this couch you re gonna be really happy You re gonna be on your feet in no time watch,24,antman
Scott Lang / Ant-Man,I hope so,3,antman
Luis,Yeah And I gotta introduce you to some people some really skilled people,13,antman
Scott Lang / Ant-Man,Not interested,2,antman
Luis,Yeah right,2,antman
Scott Lang / Ant-Man,No I m serious man I m not going back I got a daughter to take care of,18,antman
Luis,You know that jobs don t come easy for ex cons right,12,antman
Scott Lang / Ant-Man,Look man I got a masters in electrical engineering alright I m gonna be fine,15,antman
Scott Lang / Ant-Man,Welcome to Baskin Robbins Would you like to try our Mango Fruit Blast,13,antman
Ice Cream Store Customer,Uh no thanks Um I will have I ll have a burger please,13,antman
Scott Lang / Ant-Man,Oh we don t we don t make that,9,antman
Ice Cream Store Customer,Pretzel Hot pretzel like mustard in mustard dip,8,antman
Scott Lang / Ant-Man,It s ice cream Baskin Robbins,6,antman
Ice Cream Store Customer,I ll just do with whatever s hot and fresh,10,antman
Scott Lang / Ant-Man,Dude,1,antman
Dale,Can I see you in the back chief Pronto,9,antman
Scott Lang / Ant-Man,Sure thing Dale Darby could you just uh take care of this idiot Thanks,14,antman
Scott Lang / Ant-Man,Hiya Dale,2,antman
Dale,Come on in Pull up some chair,7,antman
Dale,Three years in San Quentin huh,6,antman
Scott Lang / Ant-Man,You found out,3,antman
Dale,Baskin Robbins always finds out,5,antman
Scott Lang / Ant-Man,Look I m sorry alright but I no one would hire me,12,antman
Dale,Breaking and entering Grand larceny,5,antman
Scott Lang / Ant-Man,Look I m I m sorry I you know it was I don t do it anymore I m just trying,21,antman
Dale,Respect I couldn t be happier about it,8,antman
Scott Lang / Ant-Man,Really,1,antman
Dale,Yeah yeah,2,antman
Scott Lang / Ant-Man,Oh thank you thank you,5,antman
Dale,You really stuck it to those billionaire S O Bs And the more I read about what you did and stuff I m like Wow I know this guy I m in charge of this guy Yeesh,37,antman
Scott Lang / Ant-Man,Well I m very happy in this job and I m I really just appreciate the opportunities and,18,antman
Dale,Yeah yeah Well you re fired of course I mean I can t really keep you on,17,antman
Scott Lang / Ant-Man,Wait what Fired,3,antman
Dale,Yeah,1,antman
Scott Lang / Ant-Man,Dale look it wasn t a violent crime I mean I m a good worker,15,antman
Dale,No it wasn t a violent crime It was a cool crime I ll tell you what though this d be totally off the books off the records but uh if you want to grab one of those Mango Fruit Blasts on your way out the door I ll just pretend I didn t see it,56,antman
Luis,Hey Scotty what s up I thought you were supposed to be at work,14,antman
Scott Lang / Ant-Man,I was I got fired,5,antman
Luis,Damn They find out who you are,7,antman
Scott Lang / Ant-Man,Yep,1,antman
Luis,Baskin Robbins always finds out bro,6,antman
Dave,Baskin Robbins don t play,5,antman
Luis,You want some waffles,4,antman
Scott Lang / Ant-Man,Yeah I ll take a waffle,6,antman
Luis,Oh That s Kurt He was in Folsom for years he s a wizard on that laptop,17,antman
Kurt,Nice to meet you,4,antman
Scott Lang / Ant-Man,Yeah nice to meet you too And who are you,10,antman
Dave,Dave Nice work on the Vista job,7,antman
Kurt,Vista job Yes No no I have heard of this robbery,11,antman
Scott Lang / Ant-Man,Well technically I didn t rob them Robbery involves threat I hate violence I burgled them I m a cat burglar,21,antman
Dave,You mean you re a pussy,6,antman
Scott Lang / Ant-Man,Yeah,1,antman
Luis,They were overcharging the customers right And it added up to millions He blows the whistle and he gets fired And what does he do He hacks into the security system and transfers millions back to the people that they stole it from,43,antman
Dave,Posts all the bank records online,6,antman
Luis,And he drove dude s Bentley into a swimming pool,10,antman
Scott Lang / Ant-Man,What are you doing Hmm Why are you telling my life s story to these guys What do you want,20,antman
Luis,Okay My cousin talked to this guy two weeks ago about this little perfect job,15,antman
Scott Lang / Ant-Man,No way,2,antman
Luis,No no no Wait This guy this guy fits your M O,12,antman
Scott Lang / Ant-Man,No I m finished man I m not going back to jail,12,antman
Luis,It s some retired millionaire living off his golden parachute It s a perfect Scott Lang mark,17,antman
Scott Lang / Ant-Man,I don t care I m out,7,antman
Pym Tech Gate Guard,Dr Pym,2,antman
Dr. Hank Pym,Yes I m still alive,5,antman
Pym Tech Security Guard,I D,2,antman
Dr. Hank Pym,Perhaps that will suffice,4,antman
Pym Tech Security Guard,I m very sorry sir Please come in,8,antman
Pym Tech Employee,Is that Hank Pym,4,antman
Hope van Dyne / Wasp,Good morning Hank,3,antman
Dr. Hank Pym,Hope Would it kill you to call me dad,9,antman
Hope van Dyne / Wasp,Well Dr Cross will be so please that you could find the time to join us today,17,antman
Darren Cross / Yellowjacket,More like thrilled,3,antman
Dr. Hank Pym,I was surprised to receive any kind of invitation from you Darren What s the occasion,16,antman
Darren Cross / Yellowjacket,Oh you ll see Won t he Hope,8,antman
Hope van Dyne / Wasp,We re ready for you inside,6,antman
