Source,Target
1,2
3,2
4,1
5,2
4,5
6,7
8,7
8,6
9,2
10,2
9,10
6,2
7,2
11,2
8,2
11,12
12,13
14,12
15,16
15,13
14,13
16,12
17,13
12,17
16,13
18,16
18,13
19,12
18,12
14,20
13,20
21,13
19,13
15,17
12,20
21,16
15,12
20,22
23,20
23,22
18,17
12,22
24,17
15,25
15,26
27,20
28,13
29,17
28,12
16,28
18,28
15,22
14,22
30,13
19,28
21,12
13,13
31,13
21,32
18,21
32,33
2,12
16,2
34,13
2,13
18,2
21,2
18,35
36,17
37,17
18,38
39,32
39,33
40,13
40,17
41,12
42,17
43,13
44,45
46,13
39,47
44,13
17,35
47,17
47,36
48,49
50,12
33,33
40,40
51,46
39,36
48,47
48,36
49,47
48,39
39,17
52,36
53,17
17,17
47,13
54,33
16,55
44,33
16,11
56,12
50,11
11,13
50,57
58,13
59,46
60,12
61,54
62,63
62,60
63,12
43,12
62,12
61,12
62,61
64,28
65,28
64,12
66,12
61,16
19,11
67,68
67,69
67,70
67,71
67,72
67,28
73,28
74,28
67,75
70,71
70,28
76,47
47,77
32,78
47,79
80,47
39,77
36,77
81,47
82,13
83,13
83,31
84,13
85,13
82,31
73,31
21,31
73,13
21,86
84,31
87,13
88,13
89,13
21,88
16,31
82,16
89,31
83,89
90,13
90,89
91,21
21,89
92,13
93,92
93,13
94,13
93,31
92,31
95,13
93,96
97,13
98,13
99,13
13,100
101,13
102,103
104,46
104,51
82,46
82,59
105,106
102,51
102,46
28,46
46,107
28,107
108,46
109,46
108,107
110,107
107,111
82,28
112,113
112,114
115,46
116,46
117,46
112,46
112,115
29,28
40,28
73,16
28,17
73,17
40,16
18,118
28,119
120,120
29,120
121,120
42,122
123,124
123,125
40,125
124,125
123,40
122,17
124,17
17,125
123,17
24,40
126,17
126,40
40,124
120,17
121,17
40,122
42,40
73,29
120,127
121,128
120,122
121,129
130,17
129,120
131,17
44,17
132,17
133,134
133,17
