Id,Label
1,Luis
2,Scott Lang / Ant-Man
3,Dale
4,Dave
5,Kurt
6,Dr. Hank Pym
7,Hope van Dyne / Wasp
8,Darren Cross / Yellowjacket
9,Cassie Lang
10,Paxton
11,Sam Wilson / Falcon
12,Steve Rogers / Captain America
13,Tony Stark / Iron Man
14,J.A.R.V.I.S. / Vision
15,Clint Barton / Hawkeye
16,Natasha Romanoff / Black Widow
17,Thor
18,Bruce Banner / Hulk
19,Agent Maria Hill
20,Ultron
21,James Rhodes / War Machine
22,Wanda Maximoff
23,Pietro Maximoff
24,Heimdall
25,Laura Barton
26,Lila Barton
27,Dr. Helen Cho
28,Nick Fury
29,Dr. Erik Selvig
30,FRIDAY
31,Pepper Potts
32,Nebula
33,Thanos
34,Morgan Stark
35,Valkyrie
36,Rocket
37,Korg
38,The Ancient One
39,Gamora
40,Loki
41,Brock Rumlow
42,Frigga
43,Howard Stark
44,Dr. Stephen Strange
45,Wong
46,Peter Parker / Spider-Man
47,Peter Quill / Star-Lord
48,Drax the Destroyer
49,Mantis
50,Bucky Barnes / Winter Soldier
51,Ned Leeds
52,Groot
53,Eitri
54,Johann Schmidt / Red Skull
55,T'Challa / Black Panther
56,Sharon Carter
57,Helmut Zemo
58,Thaddeus Ross
59,May Parker
60,Dr. Abraham Erskine
61,Dr. Arnim Zola
62,Colonel Chester Phillips
63,Peggy Carter
64,Alexander Pierce
65,Fury's Car
66,Jasper Sitwell
67,Carol Danvers / Captain Marvel
68,Yon-Rogg
69,Supreme Intelligence
70,General Talos
71,Maria Rambeau
72,Wendy Lawson
73,Agent Phil Coulson
74,Director
75,Monica Rambeau
76,Korath
77,Yondu Udonta
78,Ronan
79,The Broker
80,Corpsman Dey
81,Ego
82,Happy Hogan
83,Christine Everhart
84,Obadiah Stane
85,Ho Yinsen
86,Major Allen
87,Marshal
88,Senator Stern
89,Justin Hammer
90,Ivan Vanko / Whiplash
91,General
92,Maya Hansen
93,Aldrich Killian
94,The Mandarin
95,Harley Keener
96,Savin
97,Mrs. Davis
98,Cameraman
99,Gary
100,Trevor Slattery
101,Guard #2
102,Betty Brant
103,Jason Ionello
104,Michelle / MJ
105,Mr. Dell
106,Mr. Harrington
107,Quentin Beck / Mysterio
108,E.D.I.T.H.
109,Brad Davis
110,Mysterio's Crew
111,William Ginther Riva
112,Adrian Toomes / Vulture
113,Phineas Mason
114,Jackson Brice
115,Liz
116,Aaron Davis
117,Karen / Suit Lady
118,Security Guard
119,WORLD SECURITY COUNCIL #1
120,Jane Foster
121,Darcy Lewis
122,Odin
123,Fandral
124,Sif
125,Volstagg
126,Laufey
127,Richard
128,Ian Boothby
129,Erik Selvig
130,Malekith
131,Surtur
132,Hela
133,Grandmaster
134,Topaz
